year,artist,title,rank,artist_clean,track_clean,id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,preview_url,sp_artist,sp_track
1978,ABBA,Take A Chance On Me,8.0,ABBA,Take A Chance On Me,6vQN2a9QSgWcm74KEZYfDL,0.17300000000000001,https://api.spotify.com/v1/audio-analysis/6vQN2a9QSgWcm74KEZYfDL,0.685,243933,0.685,0.0,11,0.201,-8.103,1,0.0254,106.98700000000001,4,https://api.spotify.com/v1/tracks/6vQN2a9QSgWcm74KEZYfDL,audio_features,spotify:track:6vQN2a9QSgWcm74KEZYfDL,0.925,,ABBA,Take A Chance On Me
1978,Heatwave,The Groove Line,9.0,Heatwave,The Groove Line,0QX4u1gl2VZ6HKShy7BWEn,0.0543,https://api.spotify.com/v1/audio-analysis/0QX4u1gl2VZ6HKShy7BWEn,0.7120000000000001,262507,0.757,0.000405,2,0.201,-10.045,1,0.0352,120.165,4,https://api.spotify.com/v1/tracks/0QX4u1gl2VZ6HKShy7BWEn,audio_features,spotify:track:0QX4u1gl2VZ6HKShy7BWEn,0.7290000000000001,https://p.scdn.co/mp3-preview/2ce0f9e2f6b340f6862f21e739a56d3b41f6c4aa?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Heatwave,The Groove Line
1978,Pablo Cruise,Love Will Find A Way,10.0,Pablo Cruise,Love Will Find A Way,2LqzuRukwnpeWYLXBtiwmq,0.0112,https://api.spotify.com/v1/audio-analysis/2LqzuRukwnpeWYLXBtiwmq,0.797,251427,0.479,2.8800000000000002e-05,7,0.0624,-13.855,1,0.0367,124.337,4,https://api.spotify.com/v1/tracks/2LqzuRukwnpeWYLXBtiwmq,audio_features,spotify:track:2LqzuRukwnpeWYLXBtiwmq,0.8690000000000001,,Pablo Cruise,Love Will Find A Way
1978,John Travolta & Olivia Newton-John,You're The One That I Want,11.0,"John Travolta, Olivia Newton-John",You're The One That I Want,6UUzt6LPtVNwy8l6jqu9C9,0.256,https://api.spotify.com/v1/audio-analysis/6UUzt6LPtVNwy8l6jqu9C9,0.743,167613,0.774,5.03e-05,0,0.155,-5.916,1,0.0941,106.564,4,https://api.spotify.com/v1/tracks/6UUzt6LPtVNwy8l6jqu9C9,audio_features,spotify:track:6UUzt6LPtVNwy8l6jqu9C9,0.833,,"John Travolta, Olivia Newton-John",You're The One That I Want - From “Grease”
1978,Peter Brown With Betty Wright,Dance With Me,12.0,Peter Brown With Betty Wright,Dance With Me,2mKJOxhHIcQjr14YpmW2aj,0.156,https://api.spotify.com/v1/audio-analysis/2mKJOxhHIcQjr14YpmW2aj,0.943,223440,0.684,0.00359,6,0.081,-6.9239999999999995,1,0.126,111.945,4,https://api.spotify.com/v1/tracks/2mKJOxhHIcQjr14YpmW2aj,audio_features,spotify:track:2mKJOxhHIcQjr14YpmW2aj,0.846,https://p.scdn.co/mp3-preview/943cae12e9e1b2c3d38649e4a26e1e9e187f461d?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Betty Wright & Peter Brown,Dance With Me
1978,Toby Beau,My Angel Baby,13.0,Toby Beau,My Angel Baby,7kg7yWXkgN0qjyahaCiIs3,0.424,https://api.spotify.com/v1/audio-analysis/7kg7yWXkgN0qjyahaCiIs3,0.34,209783,0.344,2.97e-06,11,0.0664,-9.093,0,0.0294,206.41400000000002,3,https://api.spotify.com/v1/tracks/7kg7yWXkgN0qjyahaCiIs3,audio_features,spotify:track:7kg7yWXkgN0qjyahaCiIs3,0.314,https://p.scdn.co/mp3-preview/602755e2dd767a914ea5599ecd07b865ebacc7ed?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Toby Beau,My Angel Baby (Re Record)
1978,Walter Egan,Magnet And Steel,14.0,Walter Egan,Magnet And Steel,1Fk6KB9H0oZ2rYKFRDrhQm,0.349,https://api.spotify.com/v1/audio-analysis/1Fk6KB9H0oZ2rYKFRDrhQm,0.7190000000000001,204760,0.395,5.07e-05,1,0.0716,-9.581,0,0.0335,113.036,3,https://api.spotify.com/v1/tracks/1Fk6KB9H0oZ2rYKFRDrhQm,audio_features,spotify:track:1Fk6KB9H0oZ2rYKFRDrhQm,0.718,https://p.scdn.co/mp3-preview/3a8271a39e78fc7291908bb6bf6b239e7cf615c6?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Walter Egan,Magnet and Steel
1978,Bonnie Tyler,It's A Heartache,15.0,Bonnie Tyler,It's A Heartache,2pag2vElkdroT8hIO4Gozi,0.0291,https://api.spotify.com/v1/audio-analysis/2pag2vElkdroT8hIO4Gozi,0.54,209760,0.7070000000000001,1.24e-06,0,0.368,-5.541,1,0.0294,118.875,4,https://api.spotify.com/v1/tracks/2pag2vElkdroT8hIO4Gozi,audio_features,spotify:track:2pag2vElkdroT8hIO4Gozi,0.494,https://p.scdn.co/mp3-preview/92833a1e5ec0f34e25f20c07878df1f54344db4e?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Bonnie Tyler,It's a Heartache
1978,Barry Manilow,Copacabana (at The Copa),16.0,Barry Manilow,Copacabana ,5FMXrphygZ4z3gVDHGWxgl,0.33299999999999996,https://api.spotify.com/v1/audio-analysis/5FMXrphygZ4z3gVDHGWxgl,0.606,236760,0.899,0.000102,7,0.0754,-6.412000000000001,0,0.0758,116.735,4,https://api.spotify.com/v1/tracks/5FMXrphygZ4z3gVDHGWxgl,audio_features,spotify:track:5FMXrphygZ4z3gVDHGWxgl,0.66,https://p.scdn.co/mp3-preview/25cc7ea2d412ee00535aeca17acaddeabaf8d0c1?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Barry Manilow,Copacabana (At the Copa)
1978,Joe Walsh,Life's Been Good,17.0,Joe Walsh,Life's Been Good,2wvMC5EyaaYQwBfiwwY2xE,0.25,https://api.spotify.com/v1/audio-analysis/2wvMC5EyaaYQwBfiwwY2xE,0.505,536227,0.47600000000000003,0.00915,2,0.113,-12.897,1,0.0711,99.31,4,https://api.spotify.com/v1/tracks/2wvMC5EyaaYQwBfiwwY2xE,audio_features,spotify:track:2wvMC5EyaaYQwBfiwwY2xE,0.542,https://p.scdn.co/mp3-preview/6f0ab6058e390012042fa82f1e827ff2888e3a54?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Joe Walsh,Life's Been Good
1978,Meat Loaf,Two Out Of Three Ain't Bad,18.0,Meat Loaf,Two Out Of Three Ain't Bad,2ph0hzV1kCVhR82E2La4q5,0.385,https://api.spotify.com/v1/audio-analysis/2ph0hzV1kCVhR82E2La4q5,0.586,324440,0.48,0.0,9,0.0947,-9.138,1,0.0243,79.873,4,https://api.spotify.com/v1/tracks/2ph0hzV1kCVhR82E2La4q5,audio_features,spotify:track:2ph0hzV1kCVhR82E2La4q5,0.488,https://p.scdn.co/mp3-preview/8d36180f2f4973ff577795f4efc98353fee67e71?cid=63d66f6fe98e4ebabe73921ee5ac09cd,Meat Loaf,Two Out of Three Ain't Bad
