Date,Dividends
2002-02-13,0.7
2002-08-15,0.7
2018-11-15,1.12
2019-05-16,1.19
2015-08-17,1.07
2010-11-16,0.72
2011-05-17,0.78
2015-05-15,1.07
2019-02-14,1.19
2014-11-14,1.07
2019-08-16,1.19
2005-11-16,0.45
2007-05-16,0.58
2011-08-17,0.78
2014-02-12,1.0
2006-02-14,0.45
2001-11-14,0.7
2007-08-15,0.58
2003-05-15,0.7
2010-02-12,0.68
2015-11-16,1.07
2001-08-15,0.65
2003-02-12,0.7
2018-05-17,1.12
2019-11-15,1.19
2010-05-17,0.72
2011-11-16,0.81
2016-02-16,1.07
2014-05-15,1.07
2018-08-16,1.12
2020-02-14,1.29
2011-02-14,0.72
2010-08-17,0.72
2006-05-17,0.52
2006-11-15,0.52
2015-02-12,1.07
2014-08-15,1.07
2002-05-15,0.7
2002-11-14,0.7
2006-08-16,0.52
2007-02-14,0.52
2000-02-16,0.65
2000-08-16,0.65
2004-02-13,0.73
2016-11-16,1.08
2017-05-17,1.08
2012-11-14,0.9
2013-05-15,1.0
2017-02-14,1.08
2017-08-16,1.08
2005-05-17,0.45
2009-08-17,0.68
2007-11-14,0.58
2012-02-15,0.81
2013-08-15,1.0
2009-05-15,0.65
2001-05-16,0.65
2008-02-13,0.58
2005-08-17,0.45
2003-11-14,0.73
2001-02-14,0.65
2016-05-17,1.07
2003-08-15,0.73
2017-11-16,1.08
2009-11-16,0.68
2012-05-16,0.9
2013-11-14,1.0
2016-08-17,1.07
2018-02-15,1.12
2004-05-17,0.73
2004-11-16,0.4
2012-08-15,0.9
2013-02-13,0.9
2008-05-15,0.65
2008-11-14,0.65
2005-02-14,0.4
2000-05-17,0.65
2000-11-15,0.65
2004-08-17,0.8
2009-02-12,0.65
2008-08-15,0.65
